1,1,1,1,20151104200700,20151104200700
2,2,2,2,20151104200700,20151104200700
1,3,2,3,20151104200700,20151104200700
1,3,1,2,20151104200700,20151104200700
2,1,1,3,20151104200700,20151104200700
1,2,3,1,20151104200910,20151104200910
2,1,2,1,20151104200910,20151104200910
2,3,3,2,20151104200910,20151104200910
3,3,1,1,20151104200910,20151104200910
1,2,2,1,20151104200910,20151104200910
3,1,3,1,20151104200910,20151104200910
2,3,3,1,20151104200910,20151104200910
3,1,1,2,20151104201010,20151104201010
1,1,1,1,20151104201010,20151104201010
2,2,2,2,20151104201010,20151104201010
1,3,2,3,20151104201010,20151104201010
1,4,1,2,20151104201010,20151104201010
2,3,1,3,20151104201010,20151104201010
1,1,3,1,20151104201212,20151104201212
2,3,2,1,20151104201212,20151104201212
1,3,3,2,20151104201212,20151104201212
2,3,1,1,20151104201212,20151104201212
3,2,2,1,20151104201212,20151104201212
2,1,3,1,20151104202112,20151104202112
1,3,3,1,20151104202112,20151104202112
2,1,1,2,20151104202112,20151104202112
